Total Print Distance,X-Printer 1,Y-Printer 1,X-Printer 2,Y-Printer 2
567025.822489,10.1092638767,400.62754807,4.5505881109,737.512206416
410657.335944,238.686944843,264.928414486,555.955945758,170.132412372
395302.058567,736.956480761,523.839649749,123.975529761,1007.33835227
384145.999106,587.406412911,581.737880435,438.315301968,1004.91894893
416801.848732,19.8294357847,389.386116244,390.063146801,695.542422703
383310.004759,459.800009469,600.384483625,540.596998177,729.761597319
432598.654242,422.634131128,96.1299368956,545.951549342,278.88920399
323193.083838,351.811381373,425.671864719,455.539502499,911.232592307
367059.990844,332.738779871,267.371752458,521.758565401,353.700956691
306493.276619,539.68858161,99.7362988383,332.55711644,552.139051321
282776.597041,213.009410392,542.844828666,506.70866731,290.695763267
466778.858193,414.430994739,25.0306045522,751.905968729,813.318458158
401554.300884,299.289264513,159.793795469,400.853519841,336.753422662
398981.195216,380.677879107,56.161779169,517.785373955,338.291434528
314433.168797,594.980264262,361.046364851,478.556137659,549.898191319
516697.895684,27.6716657664,158.75446726,90.9852081138,753.1652523
417100.551845,633.261502318,42.8915778505,83.4381907549,951.527808348
315268.012617,348.260443712,259.820245281,501.061880683,650.315290682
373136.972865,288.054367785,294.929165384,163.085649076,515.550109329
460494.294174,387.523622462,8.80291516957,753.024802661,490.663617792
352498.286346,409.860074958,283.079314233,722.736888616,716.44654705
347194.804484,220.69284675,292.502334119,287.818930054,657.933937304
352917.067788,424.88839504,545.211267914,22.2176655469,1004.12108681
342617.43386,418.124399314,196.294335921,615.692356264,583.633533998
371675.448732,499.875281042,171.157954979,652.506757142,953.690236342
729178.787747,19.6242514849,11.6873861963,92.6760655549,113.049294254
514705.406973,34.8864896647,112.640185786,191.279465701,323.315706738
403351.475585,34.7555653804,291.44512157,675.164879465,411.65724533
414758.765574,647.405181968,478.067652702,711.953111558,660.370885994
435959.358361,174.872639103,345.100002787,304.465026163,284.478748138
623720.013978,94.5191741207,94.2725976376,189.795262259,157.189791722
466195.745949,3.76851677497,348.291736285,209.597992119,419.564110749
366680.054021,451.461826231,608.063688408,93.3476202779,996.078948104
321198.950117,420.514336801,330.310220533,129.389168197,527.440669638
373467.834863,238.128602803,258.498430227,256.434180341,949.806794858
406145.19058,196.631819933,456.995086571,751.860153566,983.659106335
429996.830498,751.471934783,479.70796802,659.886004263,861.626883297
479121.400991,227.402458991,779.236192365,544.619036063,938.268318944
372657.619803,694.719501486,468.919506856,560.538326601,679.615347702
482942.368071,118.070831981,265.619726478,121.513683316,994.922205264
351451.425836,87.548832711,459.281043509,472.611096639,515.177938881
364999.901341,181.498476142,272.737579538,284.931872622,726.561459023
372647.0142,118.603135528,125.902426009,465.842917405,506.947371197
259137.801465,518.235261733,401.674989054,220.251387469,666.685681852
357492.409852,42.1122446469,627.404267395,541.681067711,597.852143118
437519.113507,255.34864347,264.262986687,411.877469325,205.794578866
325384.19942,124.903270224,526.168483014,716.983200538,438.17221427
393613.510167,552.099107032,645.901944941,313.58154424,963.394766119
441614.956313,48.927879124,333.677882402,472.038380637,802.100170013
295272.652474,408.316354407,530.791695377,617.113002556,269.520202478
400063.945509,236.395761097,118.83449325,358.318009347,376.365439846
529543.523284,349.145180574,906.285910321,656.435647813,885.093417501
332426.504544,583.510767933,157.659593797,532.157641681,837.068016749
407367.178078,168.862566166,576.883787359,682.66812814,893.086047231
448022.865205,124.729241276,117.690982133,575.527393961,796.689199658
387994.960618,238.626564076,536.300537732,369.84588341,1003.85756785
390136.946374,538.369323915,213.235742663,781.97276012,786.799125247
446866.779733,165.665438366,651.136786207,383.907769341,842.191558203
293347.368136,673.104650204,339.565045221,362.19448451,844.900115733
491863.626571,40.5809023799,33.3839657425,447.562920166,192.130756333
385685.364747,248.013010498,357.376804993,783.909126971,816.055002177
395005.037051,329.427029468,680.131177162,641.509893607,820.928667255
309885.740784,375.431725829,359.106555254,197.408785247,572.548204139
286804.909947,298.463554625,516.694501672,603.567995938,301.480190856
362021.498039,228.994009345,83.0065838617,443.532741627,649.885153261
409308.333275,729.788556195,206.781612992,27.1019737243,991.027906314
382843.113239,215.790976892,398.989416367,667.883576331,69.6546816387
368968.899922,664.592653137,130.117599689,546.303641959,869.682141475
345190.700882,542.865535635,37.1464088486,156.820703082,730.004670644
505758.570122,64.3791981677,78.1526892027,230.240474526,287.899148606
284814.798157,545.361796737,309.432427957,460.451249007,842.857873777
397292.652133,373.110411243,301.186614188,494.410206077,174.14631977
479386.026946,189.296703396,71.9287690502,618.542295999,917.801782948
460967.952506,616.630550277,751.855975546,113.508802277,971.544138504
641877.39537,545.783967095,938.624561482,747.067920157,998.329721464
269219.238407,557.27878134,235.765230151,249.99616284,591.9461202
337866.070436,706.348910587,263.515370638,94.9458794254,894.634890953
313824.072637,108.789464103,686.786895376,641.064349295,525.406065303
334489.313229,587.410824077,524.521242468,371.509356942,928.862452002
364838.973268,351.616602679,153.257448954,61.8681129149,698.169724018
597587.808059,660.391211736,19.0812364306,781.351546771,231.196006728
297343.64344,505.872540063,420.954168594,26.5996079687,731.923594938
388868.840408,222.772411403,604.38516549,634.220463547,875.563461952
513711.484749,229.075398839,797.607569818,384.664269489,921.256198993
375015.720552,244.844503059,531.87293392,536.448280622,825.081904126
456694.896964,55.5288853394,401.589305074,244.451381935,344.520728287
297276.01932,362.986036612,593.581296353,687.443190082,402.78239249
592097.355495,35.9774146615,142.246885364,311.722422003,106.839517828
420587.32767,94.9062103447,351.805499789,318.684550436,354.976001836
411729.345209,20.0583530075,393.950957885,293.8221462,554.393672517
529728.281279,298.433226908,142.727259359,400.220514376,135.133421268
584608.555174,172.807007449,967.109759171,671.836545383,961.10749817
525560.873624,403.36245645,73.5610210188,464.678516145,150.861339914
377657.395144,758.739446885,242.951097832,81.7446640201,922.259048972
528773.971029,302.588791444,923.481120285,515.25403859,872.486516472
400519.790013,224.488609968,159.81202241,119.367114044,782.841178683
266833.173538,588.61857876,357.07505313,140.297716055,747.569057929
530748.733666,54.6843889568,274.327821102,327.550762583,109.084964166
453793.03492,597.918087418,682.352943608,711.802981803,616.063279559
374548.541755,283.544264662,9.35674493181,480.287362157,417.05227416
429396.942376,45.4073179198,288.736112059,453.485068762,759.97134089
378369.006673,292.916450887,664.336872276,705.069686557,742.276083321
340950.303362,278.569926066,321.396491447,417.561047454,878.408399936
438986.192666,636.019217844,545.999348594,715.580617688,596.035628791
410698.50147,198.294583598,376.756973518,59.7712597106,881.679463731
353608.765898,472.647935477,493.650276027,623.802206385,535.347781653
575582.817306,748.707472736,778.404372438,584.198889073,961.648563976
310077.995902,520.625328009,188.979140281,490.357958436,524.993363309
326354.832889,301.493939433,262.564434499,432.413596276,546.922007905
451082.943114,100.674539775,277.671656605,303.19539743,311.256453175
378107.113394,500.112586517,490.237027728,511.189889282,484.301424021
564477.773793,56.4421035617,696.125026424,193.583609948,950.181464229
442168.426064,92.1886815317,228.325996917,532.207535866,822.082992871
350694.427314,670.735955218,460.675174918,525.280855468,848.688742883
353024.900996,502.978454671,387.07699075,655.398115471,547.212174206
346197.708883,20.0764742515,631.500380433,703.951219125,282.070939553
343407.148159,501.924125269,492.93642871,593.840543019,749.035268604
291211.374915,171.623318601,553.982389304,508.834914033,446.902605331
531572.861833,30.6346742063,7.57917964862,688.114431266,776.421128547
491725.703017,59.5044007873,17.225673141,738.28025952,553.235310289
521813.209317,355.449923588,160.518667995,440.634870336,78.5038525958
395594.746308,669.155529915,346.297802962,735.166221735,948.26652726
532822.530484,198.920732763,233.659645964,354.452207481,25.9445052842
344676.710658,394.938529681,546.342927837,60.8446137494,761.768233798
306569.235848,375.231597148,165.742430912,428.675909945,647.430383254
497016.698885,127.717037091,224.166001773,264.71378628,266.147649276
298126.488283,512.567940689,155.413464438,142.909432868,770.48734797
413093.417882,499.51635708,629.96331225,528.377010692,626.16482686
387432.256283,406.026059528,117.63075617,621.377492436,416.112971364
505664.999308,41.8922528491,135.291096132,136.402265676,833.781648033
408600.107372,227.458879933,282.094805854,694.993342407,930.316310612
471762.420472,134.684148204,262.135734446,443.495986731,126.662666961
510676.565353,26.7052578242,125.046946485,296.431647012,931.243730705
384841.548598,754.485986985,81.6492235351,422.333772299,850.453416056
373567.950355,420.823777942,213.589187379,22.0591735837,523.152391112
451844.610097,22.91264712,231.140108919,380.740618571,257.856406163
354748.742724,285.336081289,375.00328889,747.514949695,593.029876228
488544.757497,218.892594762,747.893584517,327.614060654,901.377351227
407475.173822,208.566912313,153.605785681,642.859585203,667.235405101
433624.013379,150.662601827,624.995826753,315.741553976,734.232570381
445464.775224,277.092613778,75.6945780049,408.264997924,1009.48007937
403929.249349,376.354217381,297.91784109,684.884361527,57.4136510335
431110.948681,436.502979351,151.515780803,780.986988298,1004.25835506
588341.185897,380.737918157,32.8754325338,612.736399304,68.8174582717
413740.691658,503.591480819,227.495039651,647.96625432,341.528446553
788340.344498,56.9689473079,52.6492515046,6.9555688856,106.197064267
329951.176159,88.3924007646,695.360423513,725.192647817,241.941969141
379139.393343,599.873460819,213.228907472,689.969516158,543.45967808
369151.810857,116.967363855,264.343737212,426.543647697,516.920454954
291934.461433,310.392326914,572.374253983,683.350605999,200.562118099
529266.175794,370.804097567,979.169958807,709.494379924,803.857281355
382149.090942,211.658612195,499.871639347,503.753061626,817.275874786
409205.503902,67.9708062161,282.821162239,278.177183655,587.428015571
477825.057314,167.642298437,170.164371651,483.56266907,169.416600851
358227.085461,448.229800256,136.585642237,177.237681945,474.896334319
305193.068866,438.396709137,283.852427238,520.57554581,803.033903506
444912.214228,688.303920758,112.922387952,752.59978181,560.103263468
356750.473052,76.5559480762,425.391180529,686.96838605,335.511155936
340975.425091,588.662865076,590.873539169,240.007065414,876.067119653
426956.103375,674.487648023,468.574831464,719.566252457,657.479319674
603490.57454,548.929825128,76.018174486,684.952142043,2.82695530721
424634.700387,601.511461542,336.270366273,721.777572771,364.999911017
528319.752691,97.5874795619,18.6007182881,298.932525503,984.706859027
401821.56901,263.836678376,26.7890410887,503.535065224,340.646502462
372390.04961,81.2764736216,260.094109783,455.249471332,478.166798536
380835.403843,303.723034341,511.134037761,123.482116008,582.626709133
454832.225354,173.24673037,792.935978781,734.447507388,820.764769679
490103.712953,245.05375561,152.231915501,570.158186123,115.401696086
369237.87207,446.134869698,672.717859919,569.945823113,588.758900081
379204.883124,514.347773685,229.970635389,743.752309861,586.955066287
346036.838063,278.192029863,338.771446826,619.137589101,270.336439916
404644.495963,299.585584577,259.041215899,85.7463985733,477.785927365
536585.312402,97.0748701268,78.2050494976,252.7825071,217.885874532
407027.663607,468.446608851,669.193798596,421.552052067,947.309719179
344468.882118,642.843239328,327.258261904,573.831536078,950.082258894
344041.818644,316.521821408,790.105510712,631.912886565,590.573390608
677709.012211,663.369069351,960.340799615,760.832187944,896.816969155
437342.782818,230.144350957,126.007030244,183.992788696,982.718379045
449990.257627,179.890149094,700.65403247,760.982068279,959.861199859
463158.010737,27.585679867,520.338018068,193.029200292,520.097084786
408301.138398,320.58202678,141.757073801,69.5390487953,962.631913305
519845.755738,92.4330796663,299.151637669,204.952701599,291.537328024
385766.442977,697.671294152,162.153925113,559.478716514,934.360743582
345138.071131,433.060594017,395.033494064,721.853468431,231.731691893
397407.875133,777.994262716,193.193578534,58.1901973225,882.550967164
406900.416579,784.08030676,177.044534296,528.85418368,897.574000914
346569.022358,564.148994254,328.045796872,565.943584995,499.596215414
451310.663138,687.794950843,146.715903106,775.016691905,812.268797628
661961.474079,6.77387599973,809.628402741,128.771071688,913.121770373
336548.452079,734.565523079,79.9171372961,304.857089416,743.163839402
371712.474731,118.271543428,313.514712818,580.067402285,551.90462422
300080.739299,292.932162431,503.07991836,491.39302893,356.981322155
463426.2135,60.3387916329,239.291525488,690.330493685,719.098673277
361170.921431,302.342457316,383.514134327,497.289756417,138.125988556
457567.142804,11.3637469662,243.35896067,750.152664769,542.710800974
439207.311132,175.993906039,197.061728872,781.804727858,486.639021208
521769.904773,125.765478966,656.188905369,9.41585405022,829.336791956
410632.659322,173.715970926,700.879634627,769.209348438,753.991811039
338596.045623,398.930454189,286.261979497,614.568388529,552.307323084
580980.431614,33.5074537862,121.384140724,735.866067886,84.0605361104
345287.293821,418.436542366,277.624866548,668.498424695,607.227587282
360556.564485,740.211388646,272.321621664,227.809925142,999.040179964
420596.775081,688.845724638,326.753452519,780.991263733,925.310242756
388219.376404,323.638731479,636.525824113,244.85358069,867.874453699
358008.896914,349.231098583,517.332878144,15.1132265212,910.098589167
354644.919903,725.058218971,231.120602639,563.872403576,613.327368109
448112.54053,143.460532276,554.547840694,195.525751853,710.333629679
291281.071869,542.306521992,332.312435928,431.133447285,922.756331429
308735.601769,227.481548341,520.824183445,628.344636911,158.396131072
299296.685462,420.992792772,186.166622109,337.62091869,852.860215533
463375.249134,28.0742542298,264.162862209,679.845932034,706.628664641
450381.576904,103.897333406,514.688091239,721.953812438,914.202078306
592780.80295,65.1687460306,336.454128688,52.4613324835,395.231629823
364783.639596,335.624056285,128.069601239,397.074764184,905.260118085
393031.796356,121.551844851,271.887679229,547.869304051,276.102516444
346696.833828,376.133015472,248.182354154,280.592084367,458.34423118
317678.24233,644.446636145,508.377658811,234.56560105,877.004076653
363224.285464,187.153666865,664.468621486,733.324158639,22.3220511911
448173.189613,2.56448671446,714.326432076,677.36655732,739.325950371
431495.642999,350.732975903,731.626565018,603.307715766,952.690237103
601220.411119,207.863586365,892.904809858,270.506412105,914.871875423
351648.641929,378.465924797,539.326151977,424.437109695,714.814141256
407375.124412,566.890286307,145.32558621,570.05353978,322.304488355
492042.595797,597.51404198,775.175578091,419.948669305,923.004343192
310640.123206,117.457041952,631.412542041,704.424273843,442.147288219
327713.597169,362.90415417,425.523166658,571.13155375,896.198742893
402938.455754,152.110060196,99.391878222,275.941936735,512.100094391
359556.339395,106.427957332,366.465429515,580.742819244,279.668714778
358928.736732,195.876779221,167.328175995,346.206092864,614.466278683
296508.697684,458.820626788,485.419378388,234.919038089,625.433964538
488952.165562,91.4729085668,403.964839144,62.3766980205,698.056418402
458175.735736,305.184232715,56.0531533996,752.771271219,698.026590811
382169.92276,267.432433825,263.85244996,564.875330966,956.836673435
321032.237836,324.916180955,307.964878036,465.933414259,819.99867561
397415.708203,706.663998863,509.923985528,532.709070893,956.844973774
423989.706626,300.643745197,58.4464894193,268.278909833,977.955112863
489992.404003,631.338710092,248.138623432,748.038459045,204.012192004
441073.079185,198.728682381,839.213135752,486.455008458,777.087723769
399115.318414,336.606301047,33.1150381763,135.166730179,615.610378024
420207.65439,90.609750729,309.131821206,218.67142124,633.222394526
442266.615036,103.223317039,251.32778367,457.776157464,202.032852883
462640.721386,32.0863791514,92.5028746804,632.814779438,680.839122828
317898.317411,221.668123536,450.72528251,477.178373451,378.52814857
462170.154795,640.899783959,309.266524589,732.401238588,211.635888944
334495.645063,401.564661599,533.905445016,217.799335154,979.447546645
598273.491605,82.6826715397,42.7452899593,472.445240918,66.4259066779
345986.083488,342.757222284,104.882778668,350.298166039,823.033227755
585422.995793,148.614928322,928.856005265,572.237645254,982.060311489
424602.587411,183.667570027,495.788583348,101.908684234,972.575535128
364694.684938,133.975380704,443.906364366,581.145353123,135.537345174
324869.620904,46.4467501509,546.275872622,460.661711172,431.774934193
413058.669554,526.396918501,646.680417003,680.222558525,861.858996737
470968.426773,80.2560998902,186.607531326,397.010061205,918.772040942
453282.066281,543.086613379,700.835013226,530.679285714,806.727920809
530212.616917,247.056607543,810.574763026,151.808992498,881.47964003
263144.709154,642.073765947,364.500573734,244.372908679,756.756895723
451172.764181,20.5725472466,840.061657857,393.737323315,743.391040998
551009.435711,296.699367907,129.407274877,532.30187149,12.0953979147
384912.834481,223.074896891,528.116845431,218.653654802,810.480898735
464892.134341,263.283119763,716.555172424,251.427551413,756.456756858
663416.909723,619.960915409,943.302369855,713.611288659,926.937583584
302104.041972,660.578786424,215.747041555,434.835118672,550.425551322
336096.632685,21.8444907735,737.819878469,704.201919261,349.169257726
385604.772024,209.838631421,398.983490622,663.347755622,806.279302834
414137.317254,99.8754608312,239.005855946,365.561779422,798.205600797
508659.482104,29.6008908941,642.209573914,145.896781171,638.365381508
494908.003668,110.539318596,232.393369475,16.5060433175,764.179894446
367273.08621,417.718443627,318.802289106,394.529980281,399.895284182
665974.505933,488.021035955,998.945101266,706.062907346,987.035191457
447209.402043,777.635442589,161.662114604,40.324092584,1005.42338385
323680.108261,489.297650762,522.96126325,655.431231053,329.114363261
349332.495583,423.645864477,540.445101242,704.755056329,805.533058862
389792.219688,200.572635728,353.835780789,353.985810181,963.515716624
375620.854671,538.099200355,514.23735564,774.385177995,651.807712811
629680.272058,308.602102614,1001.95805997,560.375094674,989.431437613
383102.209084,126.31618103,297.650790161,386.474616405,439.174092205
508126.642425,183.058383427,62.918347092,13.425731092,628.650442606
450897.116129,283.527287449,768.738821341,512.890748941,830.652448472
554973.085308,68.6805298558,116.523779156,346.349226176,140.906305809
433198.334464,373.380528396,259.485692213,566.55153546,28.1001852202
416496.061838,636.205733569,654.683721232,422.184421777,876.162466654
457353.263448,140.203960836,692.894521199,624.279190496,924.106672832
289824.708824,500.855783194,293.11642599,117.826841924,917.118997732
386708.632637,161.481339312,52.1155089476,325.754213947,654.831313562
432936.083133,452.500900013,70.0070081605,713.40992623,882.39971369
324827.260731,181.130811478,441.318140285,469.798508672,358.599774244
352439.111132,204.084655099,303.980675634,380.794109199,715.926124553
355922.022676,611.58995635,238.635357146,643.719383661,594.662776863
473918.392927,129.073970639,104.739602373,292.553751642,278.79552133
340119.369532,366.862588332,438.766144523,11.9442788119,882.932273253
315724.002943,486.996264065,404.172184035,619.296942599,889.135180412
400424.399789,181.624277177,472.324590997,599.998950075,920.813521852
405007.453182,18.0780174196,349.710127069,492.718338003,652.356503524
328397.830036,455.371251395,536.494806344,761.479258242,326.614826487
317010.300578,417.780053358,251.951644404,112.792596601,938.539320053
299851.169751,700.946093006,202.729513715,363.544855937,752.463297514
333725.525364,348.779180792,348.336086427,621.741227864,793.970872767
554822.447586,47.9848973113,242.055218779,251.091002517,173.333803534
431738.595907,693.974229999,98.8413209747,711.652731328,501.781556369
319062.875417,189.049417645,472.902889857,708.521051281,417.951586381
402953.835718,336.400656992,692.664335741,744.901148932,852.946449318
505589.565045,307.780296393,35.5929009904,616.448394997,191.18185569
359151.200065,219.808739949,254.368585332,570.789593998,558.123973042
361936.820931,186.921922201,150.559628788,420.698327685,651.54406383
351987.145124,602.521015283,110.855011188,56.5508509483,656.323451787
359349.514353,501.57727723,81.10747981,568.857960543,450.183804288
369501.104731,326.035865128,219.659203264,15.8862521966,762.565531952
369406.032819,608.553448611,470.79683997,691.258684204,864.691355757
366957.106883,370.544075158,102.716762363,404.94495711,400.14882279
391345.845792,66.7070059338,304.539151653,542.175714146,271.927922289
425488.127174,140.080520715,349.867601359,294.992088841,388.071120831
386494.055425,308.559542234,42.4212357563,201.603866493,556.82265064
344388.951773,395.531870171,459.399275615,562.89547857,554.097433799
453345.265771,572.872588225,694.957916165,547.76421627,894.251162351
363241.528448,507.689986831,145.450799876,656.312553754,743.602394993
533393.87618,82.0005335494,644.347073431,112.39448936,940.842440696
330648.443076,627.067849819,83.1295345344,151.005681537,749.762372915
404958.454431,11.2382136769,516.823222713,326.800310831,577.922354289
470000.231612,382.178922477,812.9134131,470.395881454,775.172447023
346097.537562,372.277291728,381.6203215,7.94621236046,609.824207198
302865.194855,410.726888842,414.245373799,374.026552797,945.375245616
417224.968508,151.88171411,271.395311794,574.431970714,175.066578271
424552.264864,227.184358382,888.945967377,703.757939639,709.918057764
507230.679333,712.497545819,26.7140658999,777.105495357,433.320881202
408440.611984,36.2908983344,748.659998001,738.025896727,639.591620238
481155.801884,202.67858609,788.237096301,659.911318158,957.393541744
301217.053292,260.352395714,469.338608562,539.858162927,349.434948473
325163.850027,407.23852979,311.020682285,610.815600577,831.363729789
498531.425544,182.019721974,131.174304458,35.1104010295,534.90714282
620853.11748,0.933525192226,853.120052339,212.854058517,900.129423145
419377.933084,289.801709806,30.1927768778,218.904010704,447.443118753
333562.970199,124.699641814,641.420190941,479.749455658,584.579250943
478528.403024,34.9287678265,94.4642184592,311.902707429,256.234742011
651409.325823,112.316102281,864.063708123,74.4559805386,909.587991034
335981.977433,588.341404296,4.78351802054,457.184888629,508.227148188
407982.116637,538.590375269,681.648595479,288.045539117,957.44830857
395155.188641,148.35040224,339.340862719,213.790437168,707.509848092
335914.624963,149.863641426,375.332387133,591.890674127,365.986337494
427527.338309,141.071274986,772.043393602,435.5110118,748.177906359
362595.516872,349.353239543,287.453062763,707.157044582,421.49299927
361569.098641,215.588682585,189.851151402,440.328679986,459.169491775
411043.586296,279.358941592,111.532082568,77.7939594693,644.253372693
367464.656326,313.817658144,33.169045181,234.74799207,705.265144154
381111.874672,316.193290478,643.126321289,626.206815175,821.09568312
382065.092517,80.1513937985,671.016268122,717.230196146,642.28574349
391406.849277,126.369201563,138.85782308,366.094809236,422.365765782
403942.450108,149.255355928,358.966913476,773.230564385,599.828099336
530159.235759,16.1502441209,251.180192949,359.507112223,1003.99751948
590467.377317,140.111668927,809.029136644,92.981899346,994.224000567
376161.285939,296.435037179,358.310705442,392.329919178,408.234598095
412569.92924,122.634010132,266.72532668,196.867092801,727.655622106
379690.370341,218.952779544,45.3247169637,550.778430264,483.524722854
401248.159463,199.880400342,539.393193806,201.460943544,885.835561878
453225.601772,102.93501692,372.174405004,478.942562969,952.425994633
362211.9916,361.520737477,666.382451925,495.451451218,615.197700538
289249.631745,561.48772739,230.047879399,90.8588394489,742.340270858
334413.541584,449.553333572,372.566414449,667.900311303,676.385105804
336061.431335,268.092308762,349.004834357,403.856344769,818.586854126
435210.526765,623.750196736,668.542509521,469.520478949,894.619045224
366745.314025,352.484536022,281.580731117,691.083820475,371.18686494
378524.330089,780.994329473,370.201675423,530.678907856,817.595945308
402701.782437,619.359612844,180.406069743,655.588888483,412.197521322
385186.431265,232.413964956,53.8136137463,381.483086185,770.87703045
593215.636591,173.256030433,85.4851559351,647.962017211,14.3603996586
388345.201624,519.240769699,348.346613805,582.310327743,295.693052894
339402.870674,455.572514791,439.357084421,724.239077959,574.018249069
442580.739664,738.404920467,12.963004806,32.6715973944,739.542816837
346346.168283,252.051542457,373.27583146,626.637711347,194.315678554
389568.471627,206.692317559,876.038736274,698.349520629,649.073039344
347192.513712,419.818986594,419.816533777,538.836487343,474.98808159
595294.489446,398.418734463,68.9830755001,604.124825045,2.31125756624
293555.696883,167.873005004,581.992175822,471.401739876,452.678311474
412655.218806,391.999764524,68.9502195439,526.814040007,311.485620983
334321.883147,267.849963603,325.020423022,386.211918123,582.924599081
399548.621523,740.693500493,12.9780169999,552.909145862,722.207036872
390942.36105,246.508717507,124.303276548,224.906751929,878.519789509
397959.745427,554.43397165,74.2212696995,612.849096778,905.439662966
307086.810745,383.745867791,223.42134725,328.342544351,566.2451934
338659.415433,433.166115497,450.415627738,769.21247833,644.440704143
362345.677108,757.600653675,58.1123080246,364.233527985,773.333136941
424596.101299,667.871579388,521.226072882,753.12004575,912.126798769
301772.91432,627.767855558,230.512730259,174.982611771,921.347403122
550996.316852,586.343731538,812.83323203,730.527750933,853.162984414
362408.192064,708.762593599,565.346150093,309.305168446,862.059213426
316994.371531,81.197093055,796.94216102,682.567332706,437.201105263
355540.228983,342.666424411,503.413851875,49.7112052634,959.83090522
329647.811124,151.214779735,551.259257336,574.240103748,118.612971626
511051.720929,5.92143648365,703.131386667,643.382790877,886.691935978
368535.086551,477.620600083,75.5344298292,522.910934298,864.038984773
334676.708611,465.216489523,539.230442252,317.717782058,1006.42874035
451986.968941,716.391268089,612.24558419,592.069988599,753.383595202
573818.594307,29.700155956,174.966928587,204.823581756,209.302203491
403746.253489,346.476008487,155.125342698,725.945426449,760.340579759
432838.340236,194.828669917,602.070055794,134.761178328,909.96954392
420326.85679,2.58387850899,3.29784774124,546.107870468,609.677830033
314095.200599,322.305841698,408.198797877,314.805702512,856.115977307
407877.190968,398.923173946,276.214258731,702.197456868,115.274652636
401852.240596,622.307264529,533.193168838,727.357605046,888.814480329
324476.251206,380.692322438,76.473317693,360.967807417,619.982807064
337635.85375,666.652223926,266.41893702,380.715484974,1007.98655787
421978.004519,358.551062271,737.412834143,553.150548229,755.608558081
355545.498694,350.462363453,328.696139533,760.665925477,717.327592832
334839.778888,580.072024056,67.5755385424,282.918275768,861.257831433
344105.72506,282.040923393,96.2618486372,344.468205195,617.181141648
423280.708877,4.48503319524,184.540657423,475.979164673,693.766587315
512986.748813,46.2184690422,104.745200072,106.729499763,790.836734569
473868.620356,206.804697172,678.425798058,0.350203404638,906.481745705
336578.441133,283.060791553,453.215615965,702.628296099,580.451673817
281612.359425,263.430075804,530.807203329,585.693551346,308.114166463
593384.995728,224.624657325,158.755693292,266.857374554,75.4345937895
395283.555019,97.354958675,259.345851352,617.469047894,570.221943777
380200.564436,756.058248295,335.170407834,590.914775815,694.390013658
379347.044702,498.648532813,212.42565234,744.097149404,913.057388546
404935.378905,567.262430543,343.91044035,725.957480439,145.658878653
